"Week","Date","Fuel","Variable","Value","Unit","Status"
"2004w21",2004-05-21,"Diesel","Adjusted retail price",74.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Importer margin",17.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Importer margin trend",18.3471493185485,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Importer cost",54.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Price excluding tax",65.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","GST",13.5,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Board price",121.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Adjusted retail price",121.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Importer margin",12.6,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Importer margin trend",13.635933367962,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Importer cost",60.77042857,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Importer margin",10.06457143,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Importer margin trend",13.7625232905566,"NZD c/L","Final"
"2004w22",2004-05-28,"NA","Dubai crude price",35.03,"USD/bbl","Final"
"2004w22",2004-05-28,"NA","Dubai crude price",56.68,"NZD/bbl","Final"
"2004w22",2004-05-28,"NA","Exchange rate",0.618,"USD/NZD","Final"
"2004w22",2004-05-28,"Diesel","Importer cost",45.7,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Price excluding tax",68,"NZD c/L","Final"
