library_type_3,name,street_address,latitude,longitude
Public,South Taranaki District Libraries,"46 High Street
Hawera 4610
New Zealand",-39.5905661,174.2890914
Public,South Waikato District Libraries,"211 Leith Place,
Tokoroa 3420,
New Zealand",-38.2181191,175.8726079
Public,South Wairarapa District Libraries,"6 Kitchener Street
Martinborough 5711
New Zealand",-41.2175694,175.4588131
Tertiary,Southern Institute of Technology Limited,"133 Tay Street
Invercargill 9810
New Zealand",-46.4132579,168.3554475
Public,Southland District Libraries,"1 Wemyss Street,
Winton 9720,
New Zealand",NA,NA
Public,Stratford & District Centennial Library,"Prospero Place
Stratford 4332
New Zealand",-39.33901,174.2838021
Tertiary,Tai Poutini Polytechnic Limited,"73-87 Tainui Street
Greymouth 7805
New Zealand",-42.4501328,171.2109065
Public,Tararua District Library,"1 Station Street
Dannevirke 4930
New Zealand",-40.2092479,176.0966836
Public,Tasman District Libraries,"280 Queen Street
Richmond 7020
New Zealand",NA,NA
Public,Tasman District Libraries: Motueka,"Motueka Public Library
32 Wallace Street
Motueka 7120",NA,NA
Public,Tasman District Libraries: Tākaka Memorial Library,"3 Junction Street
Tākaka 7110
New Zealand",NA,NA
Public,Taupō District Libraries,"Story Place
Taupo 3330
New Zealand",-38.68748,176.0691713
Public,Tauranga City Libraries,"21 Devonport Road
Tauranga 3110
New Zealand",-37.6849767,176.1694332
Tertiary,Te Kupenga Catholic Theological College,"St Columba Centre
40 Vermont Street
Ponsonby
Auckland 1140
New Zealand",NA,NA
Tertiary,Te Wānanga o Aotearoa,"510 Te Rapa Road,
Te Rapa, Hamilton 3200,
New Zealand",-37.7613933,175.25011370000001
Tertiary,Te Wānanga o Raukawa & Te Whare Pukapuka,"144 Tasman Road
Ōtaki 5512
New Zealand",-40.7506755,175.1346112
Tertiary,Te Wananga Takiura o nga Kura Kaupapa o Aotearoa,"Floor 3
Auckland 1023
New Zealand",NA,NA
Tertiary,Te Whare Wānanga o Awanuiārangi,"Cnr Francis & Domain Roads
Whakatane 3120
New Zealand",NA,NA
Public,Thames-Coromandel District Libraries,"503 Mackay Street
Thames 3500
New Zealand",-37.1392082,175.5436614
Tertiary,The Salvation Army Booth College of Mission Library,"20 William Booth Grove
Trentham
Upper Hutt 5018
New Zealand",-41.132323,175.0483104
Public,Timaru District Libraries,"56 Sophia Street
Timaru 7910
New Zealand",-44.3957221,171.2507098
Tertiary,Toi Ohomai Institute of Technology Limited,"70 Windermere Drive
Poike
Tauranga Bay of Plenty 3112
New Zealand",-37.7338549,176.1498467
Tertiary,Toi Whakaari: NZ Drama School,"11 Hutchison Road
Newtown
Wellington 6021
New Zealand",-41.3085158,174.7746336
Tertiary,"Unitec, part of Te Pūkenga","Te Puna Library
Building 180, Room 2060, 139 Carrington road
Mt Albert
Auckland 1025
New Zealand",NA,NA
Tertiary,Universal College of Learning (UCOL) Limited,"Carpark I, Block 8, 110 Queen Street, Palmerston North
Palmerston North 4410
New Zealand",NA,NA
Tertiary,University of Auckland,"5 Alfred Street
Auckland 1010
New Zealand",-36.8513933,174.7694058
Tertiary,University of Canterbury,"University Drive
Ilam
Christchurch 8041
New Zealand",-43.5252158,172.582333
Tertiary,University of Otago,"65 Albany Street
Dunedin 9016
New Zealand",-45.866904,170.511754
Tertiary,"University of Otago, Hocken Collections","90 Anzac Avenue
Dunedin 9016
New Zealand",-45.8697604,170.517893
Tertiary,University of Waikato,"Gate 3A, 209 Silverdale Road,
Hillcrest,
Hamilton 3216,
New Zealand",NA,NA
Public,Upper Hutt Libraries,"844 Ferguson Drive
Upper Hutt 5018
New Zealand",NA,NA
Tertiary,Victoria University of Wellington,"Rankine Brown Building,
1 Kelburn Parade,
Wellington 6012,
New Zealand",NA,NA
Tertiary,Vision College Limited,"21 Ruakura Road
Hamilton 3216
New Zealand",-37.7796192,175.3008748
Public,Waikato District Libraries,"7 Bow Street
Raglan 3225
New Zealand",-37.799901,174.8682238
Public,Waimakariri District Libraries,"141 Percival Street
Rangiora 7400
New Zealand",-43.3088392,172.5946275
Public,Waimate District Library,"Queen Street
Waimate 7924
New Zealand",-44.7340452,171.0464231
Public,Waipā District Libraries,"c/o Cambridge Public Library
23 Wilson Street
Cambridge 3434
New Zealand",NA,NA
Public,Wairoa Centennial Library,"212 Marine Parade
Wairoa 4108
New Zealand",-39.0338006,177.4231155
Public,Waitaki District Libraries,"62 Thames Street
Oamaru 9400
New Zealand",-45.0995827,170.9695195
Public,Waitomo District Library,"Taupiri Street
Te Kuiti 3910
New Zealand",-38.331749,175.1636208
Public,Wanaka Public Library,"1 Bullock Creek Lane
Wanaka 9305
New Zealand",NA,NA
Public,Wellington City Libraries,"65 Victoria Street
Wellington 6011
New Zealand",-41.2881902,174.7767308
Tertiary,Wellington Institute of Technology Limited,NA,NA,NA
Tertiary,Wellpark College of Natural Therapies (closed 2023),NA,NA,NA
Public,Western Bay of Plenty District Libraries,"16 Talisman Drive
Katikati 3129
New Zealand",NA,NA
Tertiary,Western Institute of Technology Limited,"20 Bell Street
New Plymouth 4301
New Zealand",-39.0624502,174.0885111
Public,Westland District Library,"20 Sewell Street
Hokitika 7810
New Zealand",-42.7130887,170.9687169
Public,Whakatāne Libraries and Galleries,"49 Kakahoroa Drive
Whakatane 3120
New Zealand",-37.9505235,176.9939
Public,Whanganui District Library,"Queens Park
Whanganui 4500
New Zealand",-39.931745,175.0528373
Public,Whangārei Libraries,"5 Rust Avenue
Whangarei 110
New Zealand",-35.7241997,174.3175323
Tertiary,"Whitecliffe College, Whitecliffe Library","67 Symonds Street
Grafton
Auckland 1010
New Zealand",-36.8565763,174.7645115
Tertiary,Waikato Institute of Technology Limited (Wintec),"Gate 4 (Main Store)
Tristram Street
Hamilton 3204
New Zealand",NA,NA
Tertiary,Otago Polytechnic Limited,"135 Union Street East
Dunedin 9016
New Zealand",-45.86712,170.518867
Tertiary,Whitireia and WelTec,"3 Wi Neera Drive,
Porirua 5022,
New Zealand",-41.1263563,174.8383356
Public,Wairarapa Library Service,"50 Holloway Street
Carterton 5713
New Zealand",-41.0255764,175.5286543
